"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000270259",-0.876272307681239,2.69680309981727,-2.53291780829568,0.0142064849308084,0.0446241667530361,-3.02003281738824,"BX255925.2"
"ENSG00000112782",-0.220454076930508,5.58512897518402,-2.53283927138743,0.0142093268032184,0.0446303950628382,-4.39003645241569,"CLIC5"
"ENSG00000170290",-1.53190874437195,3.7635934630784,-2.53246798141463,0.0142227689771477,0.0446645151981826,-2.96476762938694,"SLN"
"ENSG00000223387",-1.10499939382904,3.7036032043579,-2.5321206539102,0.0142353540485233,0.0447013347982461,-2.96802586918031,"LINC02068"
"ENSG00000132467",-0.0514834423426427,5.79910888207154,-2.53201644763481,0.0142391318287508,0.0447050915537178,-4.89127844080215,"UTP3"
"ENSG00000213538",-0.887651304055155,3.37519223918236,-2.53190219033232,0.0142432750323504,0.0447153973672567,-2.96129771092756,"KRT8P41"
"ENSG00000156427",-0.247860102784569,5.07845137074817,-2.53163553955325,0.0142529485865777,0.0447376565289427,-3.7870028490778,"FGF18"
"ENSG00000207494",-0.584552358021776,2.05832455242778,-2.53156999136553,0.0142553274547514,0.044742420261231,-3.20990639887788,"Y_RNA"
"ENSG00000238266",-1.5562519148012,4.24231663912734,-2.53090603177231,0.0142794441020065,0.0448099926839603,-2.98498988598779,"LINC00707"
"ENSG00000277978",-0.304371400129447,5.05262500256595,-2.53001169585318,0.0143119870362819,0.0449066900883556,-3.71136246710976,"AC010542.5"
"ENSG00000272043",-0.862687397289261,3.31234393778776,-2.52998313914247,0.0143130272592569,0.0449072418761661,-2.96417729138865,"AC016405.2"
"ENSG00000110315",-0.0730686308907575,5.86109856596009,-2.52957988662969,0.0143277236818655,0.0449431442005938,-4.98649558813543,"RNF141"
"ENSG00000125618",-0.351531678918867,5.46698223597376,-2.52957421646647,0.014327930426809,0.0449431442005938,-4.14091275350084,"PAX8"
"ENSG00000263212",-0.546908097232851,1.99372456219531,-2.52935102651804,0.0143360705051857,0.0449632482358235,-3.22896902515926,"AC004224.2"
"ENSG00000177721",-0.204928418473242,5.20943830837403,-2.52874895829745,0.0143580497589514,0.0450267469775193,-3.94001160027428,"ANXA2R"
"ENSG00000185313",-0.599427039153443,2.06284674835024,-2.52864591572224,0.0143618145160835,0.0450358348242759,-3.21537638595284,"SCN10A"
"ENSG00000131725",-0.0727166286068881,5.72061999970619,-2.52824414998272,0.0143765019494041,0.0450710102751233,-4.75388348710702,"WDR44"
"ENSG00000175745",-0.173803242665103,5.72250296761131,-2.52810784133988,0.0143814881042112,0.0450839216174615,-4.64749883741335,"NR2F1"
"ENSG00000227017",-0.899375967286545,3.26268241919463,-2.5280025714195,0.0143853399384435,0.0450913760506357,-2.96787774129972,"AC007036.1"
"ENSG00000135763",-0.0999990271979616,5.59152991504728,-2.52790694013743,0.0143888399045324,0.0450988048021281,-4.51309099931237,"URB2"
"ENSG00000224295",-1.11902930497686,3.47553738412403,-2.5278506652205,0.0143908998454183,0.0451025403009508,-2.97043982331813,"OLFM5P"
"ENSG00000214279",-0.344501084542797,5.1173725126349,-2.52773396959063,0.0143951723355373,0.0451132092846244,-3.74389312445379,"SCART1"
"ENSG00000106178",-0.894874201240595,5.04567710721465,-2.52756101751292,0.0144015066152112,0.0451276160848421,-3.3579892586414,"CCL24"
"ENSG00000144504",-0.0860726689187157,5.64752209079635,-2.52714379137318,0.0144167977018671,0.0451700824872031,-4.60821998422312,"ANKMY1"
"ENSG00000134222",-0.128076840071164,5.38840156205027,-2.52695962116885,0.0144235521078575,0.0451857951164754,-4.22300237192413,"PSRC1"
"ENSG00000220875",-0.483950993614119,3.90170665297715,-2.52665540640313,0.014434715404695,0.0452180406473032,-3.0566213325911,"HIST1H3PS1"
"ENSG00000203909",-0.503437552017616,1.75329429491947,-2.52560413709601,0.0144733524970707,0.0453308750682909,-3.40896580682583,"DPPA5"
"ENSG00000234184",-1.42860573498522,3.58677374692032,-2.5254955554556,0.014477348510586,0.0453406573343172,-2.97828193507944,"LINC01781"
"ENSG00000136688",-1.08668343147812,3.35490465491185,-2.52490213364943,0.0144992052406867,0.0453981624223852,-2.97608503425296,"IL36G"
"ENSG00000228427",-0.701558876522721,4.36250657464221,-2.52449067304058,0.0145143775772096,0.0454401911808585,-3.14777481501323,"AL590764.1"
"ENSG00000116478",-0.0577771403707263,6.07352160784806,-2.52398735240649,0.0145329567488284,0.0454873929109363,-5.4442109000248,"HDAC1"
"ENSG00000147588",-1.58967098475083,4.10472624569591,-2.52360411843482,0.0145471175827116,0.0455289727043494,-2.98932193033619,"PMP2"
